2020-04-03 16:28:03.840344 - __main__ (4, 5) {} 92020-04-03 16:28:42.300683 - add (4, 5) {} 92020-04-03 16:29:23.447094 - add (4, 5) {} 9\2020-04-03 16:29:30.786645 - add (4, 5) {} 9\2020-04-03 16:29:31.450761 - add (4, 5) {} 9\2020-04-03 16:29:31.781876 - add (4, 5) {} 9\2020-04-03 16:30:12.429778 - add (4, 5) {} 9
2020-04-03 16:30:17.365170 - add (4, 5) {} 9
2020-04-03 16:30:17.898743 - add (4, 5) {} 9
2020-04-03 16:30:18.046603 - add (4, 5) {} 9
2020-04-03 16:30:18.190461 - add (4, 5) {} 9
2020-04-03 16:30:53.280884 - add (4, 5) {} 9
2020-04-03 16:30:55.767774 - add (4, 5) {} 9
2020-04-03 16:30:55.935326 - add (4, 5) {} 9
2020-04-03 16:30:56.068973 - add (4, 5) {} 9
2020-04-03 16:30:56.197630 - add (4, 5) {} 9
2020-04-03 16:31:19.387971 - add (4, 5) {} 9\2020-04-03 16:31:21.132307 - add (4, 5) {} 9\2020-04-03 16:31:21.267944 - add (4, 5) {} 9\2020-04-03 16:31:21.424495 - add (4, 5) {} 9\2020-04-03 16:31:21.574095 - add (4, 5) {} 9\2020-04-03 16:31:59.000834 - add (4, 5) {} 9
2020-04-03 16:31:59.135508 - add (4, 5) {} 9
2020-04-03 16:31:59.270115 - add (4, 5) {} 9
2020-04-03 16:31:59.437019 - add (4, 5) {} 9
2020-04-03 16:32:27.555517 - add (4, 5) {} 9
2020-04-03 16:32:27.736036 - add (4, 5) {} 9
2020-04-03 16:32:27.890622 - add (4, 5) {} 9
2020-04-03 16:32:28.042217 - add (4, 5) {} 9
2020-04-03 16:32:28.184838 - add (4, 5) {} 9
